STATE_ABBR,REPORTING_YEAR,CATEGORY,SUM_REL_EST,AVG_REL_EST,MIN_REL_EST,MAX_REL_EST,STD_REL_EST,VAR_REL_EST
MD,2006,POTW NON METALS,7332179.847,222187.2681,10,6740000,1170470.006,1.37E+12
KS,2006,LAND TREA,316543,26378.58333,1,264427,76239.47805,5812458013
NJ,2006,POTW METALS,0,0,0,0,0,0
MP,2006,OTH DISP,510.21,85.035,0.01,250,127.8001039,16332.86655
VI,2006,AIR FUG,154927.52,4303.542222,1.98,26167,7099.957457,50409395.89
NE,2006,POTW NON METALS,2239703.226,97378.40114,7.8062,606000,165308.0171,27326740513
ND,2006,POTW NON METALS,315240,35026.66667,64,199916,65694.41488,4315756147
OH,2006,SI 5.5.3A,100005,50002.5,5,100000,70707.14258,4999500013
DC,2006,WATER,4349,1449.666667,2,2835,1417.528248,2009386.333
CO,2006,RCRA C,196.37,65.45666667,5,167.9,89.19788469,7956.262633
VA,2006,UNINJ IIV,0.34,0.34,0.34,0.34,0,0
ND,2006,TOTAL OFFSITE RELEASE,8723852.595,36809.50462,0,4300000,301910.4328,91149909423
OH,2006,POTW RELEASE,271901.9501,43.64397272,0,116281.52,1571.969427,2471087.881
WY,2006,POTW RELEASE,263,0.894557823,0,250,14.586804,212.7748508
AL,2006,POTW TREATMENT,2948159.218,1218.247611,0,1031091,25686.65867,659804433.7
NH,2006,POTW TREATMENT,295802,782.5449735,0,78091,6816.537468,46465183.06
LA,2006,TOTAL ONSITE RELEASE,124471111.4,41670.94455,0,9035700,314924.5069,99177445024
WV,2006,TOTAL ONSITE RELEASE,85530612.28,81148.5885,0,17000000,696460.0685,4.85057E+11
ME,2006,TOTAL ONSITE RELEASE,9280867.167,22150.04097,0,2275124,131294.5162,17238249994
MT,2006,TOTAL ONSITE RELEASE,42176640.91,126277.368,0,10236426,803271.1188,6.45244E+11
VT,2006,TOTAL ONSITE RELEASE,175753.3627,1612.416171,0,111416,10871.57567,118191157.6
IA,2006,TOTAL ON OFFSITE RELEASE,52006543.74,30236.36264,0,4426542,196383.1748,38566351326
AZ,2006,AIR STACK,3407659.782,6721.222449,0.0000044,400000,29085.73247,845979833.1
NV,2006,RCRA C,7777043.628,235667.9887,0.003,1419297,411385.5145,1.69238E+11
NJ,2006,ENERGY RECOVERY,40918538.39,116245.8477,0.1345086,3776841,440722.3277,1.94236E+11
GA,2006,WATER,12592555.35,28750.12638,0.000002,3424149,225925.7264,51042433848
NC,2006,POTW NON METALS,5608021.319,30983.5432,0.0054,1628052,147382.2907,21721539616
NE,2006,WATER,18842321.15,209359.1239,0.0000196,7803669,1064498.963,1.13316E+12
OH,2006,UNINJ I,22499123,459165.7755,33,5100000,1078617.166,1.16341E+12
DE,2006,RECYCLING,10287129.1,183698.7339,0.4,3015070,560203.5578,3.13828E+11
NV,2006,SI 5.5.3B,160474338.7,1122198.173,2,39000000,4265237.625,1.81923E+13
MI,2006,SI 5.5.3B,5381705.07,131261.0993,0.15,3100000,495414.8241,2.45436E+11
CT,2006,RECYCLING,32007110.05,90160.87338,0.00003,3237905,301645.6679,90990108988
GU,2006,AIR STACK,102518.1883,3307.038331,0.0003749,81393,14730.16611,216977793.6
SD,2006,UNINJ IIV,660.3,165.075,1.3,650,323.2871105,104514.5558
MS,2006,TOTAL OFFSITE RELEASE,3923090.313,3288.424403,0,517000,27059.75976,732230598.1
OR,2006,POTW RELEASE,2294.242348,2.317416513,0,582,26.06656992,679.4660672
PA,2006,POTW RELEASE,41246.43766,8.88357477,0,15349,232.0469481,53845.78614
VT,2006,POTW RELEASE,320.03,2.936055046,0,250,24.00008395,576.0040297
CO,2006,POTW TREATMENT,626131.99,824.9433333,0,113038,7783.890968,60588958.61
SC,2006,POTW TREATMENT,5915495.509,2551.982532,0,1398046,44330.27226,1965173039
IN,2006,TOTAL ON OFFSITE RELEASE,266889142.4,68999.26123,0,25986010,815152.4453,6.64474E+11
MT,2006,TOTAL ON OFFSITE RELEASE,43331916.81,129736.2779,0,10236426,806227.2352,6.50002E+11
MO,2006,AIR FUG,2441135.882,2540.203831,0.0000002,222524,11878.06921,141088528.2
NJ,2006,AIR FUG,1135827.009,1253.672195,0.0004,204214,8483.745498,71973937.67
WI,2006,AIR STACK,18862300.89,11938.16512,0.0000221,2900000,88799.78188,7885401262
MO,2006,SI 5.5.3B,56917957.52,437830.4424,0.000012,10591229,1535358.037,2.35732E+12
CO,2006,AIR FUG,665470.8913,1858.857238,0.0000002,67000,7932.878865,62930567.08
SC,2006,RECYCLING,110136678.4,253771.1484,0.00671,19340120,1238560.095,1.53403E+12
WV,2006,WATER,3341578.112,12151.19314,0.00106,1670759,103688.6137,10751328602
WI,2006,ENERGY RECOVERY,18509928.3,55752.79609,0.0007,2141000,210694.1276,44392015385
MD,2006,RECYCLING,4632513.45,42113.75864,0.05,840000,141158.1916,19925635049
NM,2006,RECYCLING,2998650.08,39982.00107,0.1,1066527,149229.0271,22269302539
